area,n_quartos,n_banheiros,vizinhanca,ano_contrucao,preco
197.51,4,1,Rural,1969,215355.28
228.45,3,2,Rural,1980,195014.22
172.8,2,1,Suburbio,1970,306891.01
213.12,2,1,Urbano,1996,206786.79
197.88,5,2,Suburbio,2001,272436.24
194.63,2,3,Suburbio,2020,198208.8
253.07,2,1,Suburbio,1993,343429.32
189.89,4,3,Rural,1957,184992.32
245.08,4,3,Urbano,1959,377998.59
104.14,5,2,Urbano,2004,95961.93
136.2,5,3,Suburbio,1951,191113.77
207.92,3,3,Suburbio,1987,253358.65
123.56,2,2,Suburbio,1992,132172.39
230.59,4,3,Suburbio,1989,231157.03
100.99,4,1,Urbano,1976,118393.82
222.6,2,2,Suburbio,1993,267377.4
197.23,5,2,Rural,1956,190773.15
173.82,4,2,Suburbio,1977,172989.8
249.63,5,1,Urbano,1979,239222.67
104.98,4,3,Rural,1962,143050.2
249.44,4,3,Urbano,1999,405523.83
216.65,3,3,Rural,1978,263954.15
164.35,4,1,Suburbio,1963,148310.62
124.77,2,3,Rural,2013,151733.92
233.65,2,3,Urbano,2013,307961.11
226.4,2,1,Rural,2004,276162.86
167.69,5,1,Rural,2002,243985.21
128.67,4,3,Rural,1996,88030.54
205.78,5,1,Urbano,1952,282908.98
181.63,3,1,Rural,2014,240976.55
118.54,4,1,Rural,1965,104747.33
202.9,2,2,Suburbio,1959,347207.39
135.55,3,2,Rural,2006,77493.93
217.11,3,3,Suburbio,2008,331851.08
94.85,4,3,Rural,2013,110408.67
116.31,2,1,Urbano,1993,127932.76
162.3,5,3,Rural,1982,228683.23
172.43,4,2,Rural,1959,124711.71
240.06,2,3,Suburbio,2001,415850.77
136.94,3,3,Urbano,1959,184819.96
193.42,4,2,Suburbio,1966,164855.99
140.28,3,2,Suburbio,2002,156928.01
251.3,2,1,Urbano,1971,282457.86
232.16,5,1,Urbano,2021,287591.67
157.84,5,1,Rural,1960,156313.59
183.48,3,3,Suburbio,2016,279764.37
260.69,3,3,Suburbio,1962,366494.48
110.46,3,3,Urbano,2007,244539.28
181.81,4,2,Rural,1994,239299.99
156.63,2,3,Urbano,1994,249148.34
181.81,3,2,Rural,1992,304197.58
145.11,3,3,Rural,2013,89378.55
269.33,3,3,Rural,1988,427295.4
240.62,5,2,Suburbio,1957,328501.8
210.61,3,2,Urbano,1989,215867.42
170.11,2,2,Rural,2000,190058.89
234.86,5,1,Urbano,1969,259751.15
200.11,2,1,Rural,2015,166810.39
233.0,5,3,Suburbio,2007,352932.16
264.03,5,3,Urbano,2014,422042.92
152.92,4,3,Suburbio,1994,91423.62
94.76,5,1,Rural,1983,220053.86
170.94,5,3,Suburbio,1961,216148.21
108.33,2,2,Suburbio,1972,161587.15
213.4,2,2,Urbano,2017,194967.91
128.86,3,1,Rural,2002,152828.72
148.65,4,2,Rural,2002,256725.98
122.17,5,2,Suburbio,1989,98039.3
94.11,4,3,Urbano,2002,164858.19
115.29,3,2,Urbano,1985,199373.18
165.0,4,2,Urbano,2014,181245.45
220.09,5,1,Suburbio,1963,209700.72
145.3,2,2,Rural,1983,163053.39
176.24,4,2,Rural,1975,304004.69
219.53,5,3,Urbano,2004,308830.94
101.36,3,3,Urbano,2012,194294.0
222.04,5,3,Urbano,2019,172777.32
181.63,4,1,Suburbio,1995,197656.07
230.21,5,3,Urbano,1986,273365.5
227.71,5,2,Rural,1972,216047.22
140.1,4,1,Urbano,1965,149586.15
164.9,4,2,Suburbio,1981,214171.08
275.55,3,2,Rural,1956,277419.0
96.06,5,3,Rural,1993,117295.38
111.95,2,1,Urbano,1996,180760.87
195.47,4,1,Suburbio,1954,202715.16
274.53,5,3,Rural,2012,378403.57
240.15,2,1,Suburbio,1961,257776.09
268.95,2,2,Suburbio,2021,266046.88
223.99,5,1,Rural,1958,337645.68
188.13,5,2,Rural,1993,240145.97
187.76,5,1,Suburbio,1971,92641.62
224.18,2,1,Urbano,1995,152037.88
145.39,5,3,Rural,1957,149848.62
197.79,4,3,Urbano,2005,220384.43
259.66,2,1,Rural,1977,305658.56
264.31,4,2,Urbano,1996,318297.26
232.26,4,3,Rural,1984,230749.28
158.12,5,3,Urbano,1970,201925.84
130.16,4,3,Suburbio,1982,149576.68
160.63,5,1,Rural,2019,171877.07
239.6,2,2,Urbano,1997,245276.73
107.86,4,2,Suburbio,2003,288571.13
111.58,5,1,Urbano,1951,87804.56
276.94,3,2,Rural,1982,267127.01
185.34,5,3,Suburbio,1965,221217.77
117.89,3,2,Suburbio,1999,218784.63
268.12,5,3,Rural,1969,315607.02
168.62,3,3,Urbano,2016,217967.93
213.12,4,1,Rural,1994,353343.63
135.17,3,3,Urbano,1984,187002.96
230.86,4,2,Rural,1978,222855.08
255.48,4,2,Rural,1994,366548.82
211.35,5,2,Rural,1964,259473.28
187.29,4,2,Urbano,1952,212440.42
253.16,2,2,Urbano,2018,237066.69
120.31,3,3,Urbano,1983,158357.65
255.3,5,1,Suburbio,2020,255620.0
159.7,4,1,Suburbio,1953,190659.43
257.53,3,2,Urbano,1968,284985.44
124.21,3,3,Urbano,1970,214741.23
174.47,2,1,Suburbio,1964,128693.03
192.87,3,2,Rural,1966,184051.98
166.39,5,3,Rural,2003,242865.26
273.6,5,1,Urbano,1986,295356.78
112.97,4,3,Rural,2003,107868.93
163.79,4,2,Urbano,1971,207380.14
110.28,5,3,Suburbio,1957,132828.81
128.11,3,1,Urbano,1960,84493.69
138.61,3,1,Suburbio,2019,53360.87
191.75,2,3,Rural,1958,296199.35
202.53,4,1,Urbano,1951,273924.56
94.2,3,3,Urbano,1981,204340.73
263.47,3,3,Urbano,2000,228582.1
98.85,4,2,Suburbio,1986,237384.35
267.56,5,2,Rural,1955,312245.87
265.89,3,3,Urbano,1961,219408.62
141.21,2,1,Rural,2003,201334.94
219.9,3,2,Suburbio,1995,221413.58
199.93,3,1,Rural,1982,306839.62
153.01,2,3,Urbano,1967,126756.36
231.79,5,1,Urbano,1987,328702.83
193.8,2,1,Suburbio,2008,141074.03
200.86,2,3,Rural,1956,220712.46
234.3,4,2,Urbano,1964,319176.84
147.9,3,2,Suburbio,1950,245299.21
129.23,5,1,Rural,1995,51154.13
250.65,3,3,Urbano,1981,314018.03
131.74,5,3,Suburbio,1998,222904.26
119.66,2,2,Suburbio,1959,115697.78
128.02,4,3,Suburbio,1966,140714.77
259.76,2,3,Suburbio,1969,178353.15
233.47,3,1,Suburbio,2000,280022.03
114.27,4,1,Rural,1971,136418.48
187.39,4,2,Urbano,1969,195803.97
96.62,3,2,Rural,2014,98933.44
190.54,5,1,Suburbio,1953,185052.56
105.35,4,3,Urbano,2003,160764.44
111.48,5,3,Suburbio,2014,156394.27
265.98,5,1,Suburbio,2000,333464.15
165.27,5,1,Urbano,1960,211994.33
179.21,4,1,Rural,1976,252779.69
191.01,2,1,Urbano,1975,288750.4
192.4,4,3,Rural,1966,185482.06
139.54,2,3,Suburbio,1991,119671.37
130.62,4,2,Suburbio,1997,148891.42
241.27,2,1,Rural,1982,235810.22
255.58,2,2,Suburbio,2010,357765.12
167.6,4,3,Rural,1978,216771.36
102.01,5,2,Rural,2012,102580.5
156.36,5,3,Urbano,1986,208774.14
268.95,2,3,Suburbio,2005,302454.64
160.26,3,2,Urbano,1965,208558.78
238.76,3,2,Urbano,2005,276434.54
182.09,4,1,Suburbio,1991,220786.71
256.6,4,3,Urbano,1973,354268.48
149.76,4,1,Suburbio,2018,142420.97
275.55,3,1,Suburbio,1980,299146.6
230.86,5,3,Urbano,1960,321647.45
152.55,4,2,Suburbio,1951,216976.91
259.39,4,1,Suburbio,2020,243179.7
188.41,5,1,Suburbio,1984,184210.77
208.2,2,3,Suburbio,2011,175779.57
139.54,4,2,Urbano,2003,162271.09
164.07,3,2,Rural,2018,240727.04
129.79,3,1,Urbano,2000,186900.95
173.73,4,3,Rural,1958,208692.15
166.67,3,1,Rural,1963,114333.69
129.32,5,2,Rural,2005,225281.32
112.04,2,1,Suburbio,1983,110852.45
189.34,2,3,Rural,1950,206119.18
267.65,4,1,Suburbio,1987,292218.37
239.41,4,2,Suburbio,1966,209166.3
175.68,2,3,Suburbio,1965,283220.11
230.77,2,3,Urbano,1997,354538.82
252.14,4,3,Rural,1999,290954.49
241.36,3,3,Urbano,2020,207377.56
173.08,4,3,Suburbio,1990,267934.09
161.84,5,1,Urbano,1993,235034.9
210.33,4,3,Suburbio,1964,246611.88
145.21,4,2,Urbano,2010,314867.65
187.66,4,3,Suburbio,1999,278092.76
101.73,4,2,Suburbio,2001,88443.38
271.56,4,2,Urbano,2001,235396.45
256.13,4,2,Suburbio,1985,280503.81
137.87,3,2,Rural,1982,273072.34
225.75,4,2,Urbano,1994,252666.85
114.27,2,1,Urbano,1951,133914.41
162.39,4,2,Suburbio,1950,142717.83
248.79,3,2,Urbano,2019,266197.04
203.83,5,2,Rural,1996,245433.69
143.07,2,1,Urbano,2013,177796.4
191.29,4,3,Rural,1967,226582.27
141.58,4,2,Urbano,2003,170745.47
202.81,2,1,Rural,1984,194059.37
265.89,4,1,Urbano,2008,347187.41
252.88,3,1,Rural,1985,345978.98
210.52,4,3,Suburbio,1975,323981.51
195.93,5,1,Urbano,1994,185909.9
261.89,3,2,Urbano,2018,231642.42
